Categoría,Enero,Febrero,Marzo,Q1 Total,Promedio,Tendencia
ENTRADAS DE EFECTIVO,,,,,,
Salario,50000,50000,50000,=SUM(B2:D2),=E2/3,=E2/3
Bonos,5000,0,10000,=SUM(B3:D3),=E3/3,=E3/3
Ingresos Adicionales,2000,1500,3000,=SUM(B4:D4),=E4/3,=E4/3
Dividendos,500,500,500,=SUM(B5:D5),=E5/3,=E5/3
TOTAL ENTRADAS,=SUM(B2:B5),=SUM(C2:C5),=SUM(D2:D5),=SUM(E2:E5),=E6/3,
,,,,,,
SALIDAS DE EFECTIVO,,,,,,
Gastos Fijos,30000,30000,30000,=SUM(B8:D8),=E8/3,=E8/3
Gastos Variables,15000,12000,18000,=SUM(B9:D9),=E9/3,=E9/3
Marketing,6000,6000,6000,=SUM(B10:D10),=E10/3,=E10/3
Ahorros,10000,10000,10000,=SUM(B11:D11),=E11/3,=E11/3
Inversiones,5000,5000,5000,=SUM(B12:D12),=E12/3,=E12/3
TOTAL SALIDAS,=SUM(B8:B12),=SUM(C8:C12),=SUM(D8:D12),=SUM(E8:E12),=E13/3,
,,,,,,
FLUJO NETO,=B6-B13,=C6-C13,=D6-D13,=E6-E13,=E14/3,
,,,,,,
ANÁLISIS,,,,,,
Margen de Seguridad,=B14/B6,=C14/C6,=D14/D6,=E14/E6,=E17/3,
Tasa de Ahorro,=B11/B6,=C11/C6,=D11/D6,=E11/E6,=E18/3,
Eficiencia Operativa,=B6/B13,=C6/C13,=D6/D13,=E6/E13,=E19/3,
Liquidez,=B14/1000,=C14/1000,=D14/1000,=E14/1000,=E20/3,
